"iso3c","country","learning_poverty","gni_per_capita","population"
"AFG","Afghanistan",93.447998046875,500,38972230
"ALB","Albania",16.478641510009766,5260,2837849
"ARE","United Arab Emirates",32.832923889160156,41770,9287289
"ARG","Argentina",59.14719009399414,9010,45376763
"ARM","Armenia",27.241146087646484,4470,2805608
"AUS","Australia",8.563431739807129,53620,25655289
"AUT","Austria",13.26862621307373,48990,8916864
"AZE","Azerbaijan",23.28103256225586,4480,10093121
"BDI","Burundi",95.81885528564453,220,12220227
"BEL","Belgium",6.368309020996094,46030,11538604
"BEN","Benin",55.77610397338867,1230,12643123
"BFA","Burkina Faso",73.86119079589844,750,21522626
"BGD","Bangladesh",58.21909713745117,2300,167420951
"BGR","Bulgaria",15.20261287689209,9520,6934015
"BHR","Bahrain",32.088218688964844,22950,1477469
"BLZ","Belize",76.4140396118164,5210,394921
"BRA","Brazil",46.89786148071289,7820,213196304
"BWA","Botswana",50.837650299072266,6010,2546402
"CAN","Canada",4.3018574714660645,43540,38037204
"CHL","Chile",27.1904296875,12990,19300315
"CHN","China",18.200000762939453,10520,1411100000
"CIV","Cote d'Ivoire",82.61730194091797,2240,26811790
"CMR","Cameroon",71.9326171875,1520,26491087
"COD","Congo, Dem. Rep.",96.60150146484375,540,92853164
"COG","Congo, Rep.",70.0140151977539,1760,5702174
"COL","Colombia",51.35694122314453,5820,50930662
"COM","Comoros",86.023345947265625,1520,806166
"CRI","Costa Rica",34.02406692504883,11520,5123105
"CUB","Cuba",27.938919067382813,NA,11300698
"CYP","Cyprus",9.938192367553711,26600,1237537
"CZE","Czechia",13.824901580810547,21800,10697858
"DEU","Germany",14.353412628173828,48050,83160871
"DNK","Denmark",3.574493646621704,62710,5831404
"DOM","Dominican Republic",77.71785736083984,7170,10999664
"DZA","Algeria",67.90348052978516,3600,43451666
"EAP","East Asia & Pacific (excluding high income)",34.52093505859375,8333.18881979294,2116424876
"EAS","East Asia & Pacific",32.35285949707031,11637.0379535244,2363940425
"ECA","Europe & Central Asia (excluding high income)",11.057868957519531,7709.00969555312,400811771
"ECS","Europe & Central Asia",8.556546211242676,24016.353297926,923103879
"ECU","Ecuador",65.93712615966797,5560,17588595
"EGY","Egypt, Arab Rep.",69.573272705078125,2860,107465134
"ESP","Spain",4.536696434020996,27130,47365655
"ETH","Ethiopia",90.38964080810547,880,117190911
"FIN","Finland",2.574587821960449,50100,5529543
"FRA","France",6.87060546875,39440,67571107
"GAB","Gabon",30.677560806274414,6830,2292573
"GBR","United Kingdom",3.512510061264038,38590,67081000
"GEO","Georgia",15.293953895568848,4260,3722716
"GIN","Guinea",82.6748275756836,960,13205153
"GRC","Greece",7.686419486999512,17960,10698599
"GTM","Guatemala",78.51618957519531,4490,16858333
"HIC",NA,7.968217372894287,NA,NA
"HKG","Hong Kong SAR, China",4.188119888305664,48550,7481000
"HND","Honduras",79.2916030883789,2150,10121763
"HRV","Croatia",4.462029457092285,14820,4047680
"HUN","Hungary",5.903298377990723,16030,9750149
"IBD","IBRD only",43.846282958984375,6258.71426464472,4889761166
"IDB","IDA blend",76.20824432373047,1736.05157527129,582637127
"IDN","Indonesia",52.82275390625,3900,271857970
"IDX","IDA only",82.38935852050781,1144.34570866638,1155669680
"IND","India",56.070560455322266,1890,1396387127
"IRL","Ireland",2.344146966934204,65330,4985382
"IRN","Iran, Islamic Rep.",35.23632049560547,3290,87290193
"ISL","Iceland",9.32339096069336,62280,366463
"ISR","Israel",11.662343978881836,43310,9215100
"ITA","Italy",4.391714572906494,32410,59438851
"JOR","Jordan",62.548213958740234,4070,10928721
"JPN","Japan",3.5605063438415527,40810,126261000
"KAZ","Kazakhstan",2.1861212253570557,8710,18755666
"KGZ","Kyrgyz Republic",64.49124908447266,1180,6579900
"KHM","Cambodia",90.00334930419922,1530,16396860
"KOR","Korea, Rep.",3.2300806045532227,33040,51836239
"KWT","Kuwait",51.0825309753418,NA,4360444
"LAC","Latin America & Caribbean (excluding high income)",53.0648307800293,7217.5871101672,588808380
"LAO","Lao PDR",97.71728515625,2470,7319399
"LCN","Latin America & Caribbean",52.25216293334961,7637.29501208513,650534967
"LIC",NA,89.980621337890625,NA,NA
"LKA","Sri Lanka",14.80606746673584,3930,21919000
"LMC",NA,60.42839813232422,NA,NA
"LNX",NA,7.534496784210205,NA,NA
"LSO","Lesotho",97.01187896728516,1150,2254100
"LTU","Lithuania",2.98321270942688,19680,2794885
"LUX","Luxembourg",2.9504780769348145,79580,630419
"LVA","Latvia",3.984968900680542,18240,1900449
"MAC","Macao SAR, China",5.554707050323486,44690,676283
"MAR","Morocco",64.90043640136719,3250,36688772
"MDA","Moldova",11.010089874267578,4490,2635130
"MDG","Madagascar",93.93574523925781,460,28225177
"MEA","Middle East & North Africa",53.31885528564453,6864.24313258747,479966649
"MEX","Mexico",47.634178161621094,8750,125998302
"MKD","North Macedonia",40.8614616394043,5730,2072531
"MLI","Mali",90.43836212158203,790,21224040
"MLT","Malta",27.96039390563965,26440,515332
"MMR","Myanmar",89.46794128417969,1370,53423198
"MNA","Middle East & North Africa (excluding high income)",57.8230094909668,3162.47482634076,411810124
"MNE","Montenegro",27.103845596313477,7900,621306
"MNG","Mongolia",39.46482849121094,3720,3294335
"MRT","Mauritania",94.76531982421875,1790,4498604
"MUS","Mauritius",40.45787811279297,9940,1265740
"MYS","Malaysia",42.025634765625,10320,33199993
"NAC","North America",4.25611686706543,62488.0170347019,369602177
"NER","Niger",90.43682098388672,550,24333639
"NIC","Nicaragua",78.90349578857422,1740,6755895
"NLD","Netherlands",2.2685766220092773,50170,17441500
"NOR","Norway",5.97042989730835,77880,5379475
"NZL","New Zealand",11.352907180786133,41480,5090200
"OMN","Oman",41.76449203491211,17110,4543399
"PAK","Pakistan",76.98406219482422,1420,227196741
"PAN","Panama",78.51261138916016,12470,4294396
"PER","Peru",44.44244384765625,6000,33304756
"PHL","Philippines",90.91326141357422,3350,112190977
"POL","Poland",4.7760329246521,15300,37899070
"PRT","Portugal",6.017806529998779,21850,10297081
"PRY","Paraguay",77.74401092529297,5550,6618695
"QAT","Qatar",35.65247344970703,58370,2760385
"ROU","Romania",17.860328674316406,12700,19265250
"RUS","Russian Federation",3.534235715866089,10740,144073139
"SAS","South Asia",58.7269172668457,1856.25278551825,1882531620
"SAU","Saudi Arabia",38.2237663269043,21540,35997107
"SEN","Senegal",68.56822967529297,1460,16436120
"SGP","Singapore",2.757375478744507,55010,5685807
"SLV","El Salvador",69.07362365722656,3740,6292731
"SRB","Serbia",9.84429931640625,7440,6899126
"SSA","Sub-Saharan Africa (excluding high income)",86.29402923583984,1489.64018743035,1151203345
"SSF","Sub-Saharan Africa",86.29402923583984,1490.71354973953,1151301807
"SVK","Slovak Republic",23.174612045288086,19180,5458827
"SVN","Slovenia",5.432384014129639,25400,2102419
"SWE","Sweden",2.3132786750793457,54740,10353442
"TCD","Chad",94.4105453491211,630,16644701
"TGO","Togo",81.65792083740234,900,8442580
"THA","Thailand",23.415775299072266,6900,71475664
"TTO","Trinidad and Tobago",20.644582748413086,13830,1518147
"TUN","Tunisia",65.5328598022461,3230,12161723
"TUR","Turkiye",14.503026008605957,9070,84135428
"UGA","Uganda",81.9233627319336,740,44404611
"UKR","Ukraine",27.88031005859375,3570,44132049
"UMC",NA,29.386201858520508,NA,NA
"URY","Uruguay",43.61836624145508,15950,3429086
"USA","United States",4.251830101013184,64650,331501080
"VNM","Vietnam",18.12091636657715,3450,96648685
"WBC",NA,56.319583892822266,NA,NA
"WLD","World",51.28078079223633,11037.6539955163,7820981524
"YEM","Yemen, Rep.",94.6600570678711,NA,32284046
"ZAF","South Africa",78.90949249267578,6090,58801927
"ZMB","Zambia",98.50421142578125,1130,18927715
